#lambda/nm	DC	C1
617.485	46031.8	45918.6
617.898	45851.8	45844.4
618.311	45586.6	45587.8
618.723	45288.4	45326.4
619.136	45254.6	45152.2
619.549	44997	44948.4
619.962	44762.8	44771.2
620.375	44556.4	44487.2
620.788	44370.6	44328.2
621.201	44155.6	44089.4
621.614	44001.2	43949.6
622.028	43728.6	43777
622.441	43533.8	43550
622.854	43300	43238.6
623.268	43051.2	43057.4
623.681	42885.2	42868
624.095	42623.8	42605.2
624.509	42449.8	42434
624.922	42254.2	42185
625.336	41867.8	41925.4
625.728	41761	41748.4
626.142	41514	41525
626.556	41307	41150.6
626.97	40963.6	41079.6
627.384	40728	40737.2
627.799	40660.2	40556.2
628.213	40294.4	40354
628.627	39993.2	40090.4
629.041	39876.6	39862
629.456	39626.6	39579.4
629.87	39393.6	39269.2
630.285	39184.4	39109.2
630.699	38938.6	38919.4
631.093	38740	38679.6
631.507	38413.4	38378.6
631.922	38221.6	38254.8
632.337	37932.6	37885.4
632.752	37573.4	37525.4
633.167	37302.8	37265.6
633.582	37018.2	36969.2
633.997	36825	36767.4
634.412	36551.8	36456.6
634.806	36291	36289.8
635.221	35967.4	36011.4
635.637	35681.2	35752.2
636.052	35459.6	35487.4
636.468	35053	35163
636.883	34809	34872.6
637.299	34525.8	34619
637.715	34225.4	34244.2
638.109	33920.8	33961.4
638.525	33680.8	33655.2
638.941	33378.2	33328.6
639.357	33001	32962
639.773	32678	32678.4
640.189	32392.4	32391
640.584	32130	32053.4
641	31736.2	31822.2
641.416	31495	31488.8
641.832	31166	31226.2
642.249	30961	30956.6
642.665	30590.4	30644.2
643.06	30342.4	30378.6
643.477	30093	30136.8
643.894	29760.8	29817.4
644.31	29559.8	29539.6
644.727	29306	29341.2
645.123	28965.2	28949.8
645.54	28621.8	28547.6
645.957	28343	28332.6
646.374	28103.2	28046
646.77	27829.6	27822.6
647.187	27698.4	27705
647.604	27404	27387.8
648.021	27222.4	27199.6
648.439	27022.2	26966.6
648.835	26707.8	26737.6
649.252	26600.2	26528.6
649.67	26341	26365
650.088	26121.6	26154.4
650.484	25873.2	25918.8
650.902	25716.4	25685.4
651.32	25512.6	25541.4
651.738	25292.2	25241.2
652.134	25070.2	25068.8
652.552	24851.8	24911.2
652.971	24665.4	24565
653.389	24418.6	24417.8
653.786	24155.8	24134.6
654.204	23966.4	23976.6
654.622	23728.8	23757
655.019	23559	23570.2
655.438	23395.2	23297.4
655.857	23178	23161.4
656.275	22958.2	22963.4
656.673	22710.6	22759.4
657.091	22570.8	22467.4
657.51	22335.8	22302.4
657.908	22134	22090.6
658.327	21917.2	21914.8
658.746	21640	21577.6
659.144	21455.4	21417.2
659.563	21197.8	21211.4
659.982	20994.8	21012.2
660.38	20692	20753.2
660.8	20501.8	20501.2
661.219	20265.4	20245
661.617	20088.6	20010.8
